##BLOCKS= 4          
Note:
~End
Plate:	Plate#1	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	600	1	12	96	1	8	None	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
	23.10	0.099	0.1175	0.0815	0.0802	0.0835	0.083	0.0736	0.0783	0.0894	0.0954	0.0913	0.1026		
		0.0863	0.0865	0.0788	0.0819	0.082	0.0883	0.0808	0.0767	0.0812	0.0917	0.0808	0.0962		
		0.1076	0.0944	0.0807	0.0805	0.0761	0.0789	0.0829	0.0789	0.0779	0.0755	0.0823	0.093		
		0.0853	0.0914	0.0743	0.0889	0.0787	0.0777	0.0807	0.0775	0.0784	0.0773	0.0761	0.1038		
		0.0943	0.0799	0.072	0.0783	0.0751	0.0834	0.0771	0.0735	0.0777	0.0788	0.0868	0.1037		
		0.0863	0.085	0.1007	0.0761	0.0723	0.0746	0.0786	0.0767	0.0781	0.0758	0.085	0.0805		
		0.0914	0.0915	0.1025	0.0764	0.0745	0.077	0.0792	0.0827	0.0819	0.08	0.091	0.1176		
		0.0838	0.0965	0.0807	0.0868	0.084	0.0913	0.0805	0.0858	0.0949	0.094	0.1	0.1056		
		
~End
Cuvette:	CuvetteSet#1	1.3	TimeFormat	Endpoint	Absorbance	Raw	FALSE	1						1	600	1	12	1	1	8	None	
	Temperature(¡C)	A1	
	23.30	Error	
	23.30	
~End
Group:	10A	1
Sample	Wells	Sample#	Values	MeanValue
10A	A1	1	0.099	0.085
	A2		0.118	
	A3		0.082	
	A4		0.080	
	A5		0.084	
	A6		0.083	
	A7		0.074	
	A8		0.078	
	A9		0.089	
	A10		0.095	
	A11		0.091	
	A12		0.103	
	B1		0.086	
	B2		0.087	
	B3		0.079	
	B4		0.082	
	B5		0.082	
	B6		0.088	
	B7		0.081	
	B8		0.077	
	B9		0.081	
	B10		0.092	
	B11		0.081	
	B12		0.096	
	C1		0.108	
	C2		0.094	
	C3		0.081	
	C4		0.081	
	C5		0.076	
	C6		0.079	
	C7		0.083	
	C8		0.079	
	C9		0.078	
	C10		0.076	
	C11		0.082	
	C12		0.093	
	D1		0.085	
	D2		0.091	
	D3		0.074	
	D4		0.089	
	D5		0.079	
	D6		0.078	
	D7		0.081	
	D8		0.078	
	D9		0.078	
	D10		0.077	
	D11		0.076	
	D12		0.104	
	E1		0.094	
	E2		0.080	
	E3		0.072	
	E4		0.078	
	E5		0.075	
	E6		0.083	
	E7		0.077	
	E8		0.074	
	E9		0.078	
	E10		0.079	
	E11		0.087	
	E12		0.104	
	F1		0.086	
	F2		0.085	
	F3		0.101	
	F4		0.076	
	F5		0.072	
	F6		0.075	
	F7		0.079	
	F8		0.077	
	F9		0.078	
	F10		0.076	
	F11		0.085	
	F12		0.081	
	G1		0.091	
	G2		0.092	
	G3		0.103	
	G4		0.076	
	G5		0.075	
	G6		0.077	
	G7		0.079	
	G8		0.083	
	G9		0.082	
	G10		0.080	
	G11		0.091	
	G12		0.118	
	H1		0.084	
	H2		0.097	
	H3		0.081	
	H4		0.087	
	H5		0.084	
	H6		0.091	
	H7		0.081	
	H8		0.086	
	H9		0.095	
	H10		0.094	
	H11		0.100	
	H12		0.106	
10A01	A1	2	Error	Error
	A2		 	
	A3		 	
	A4		 	
	A5		 	
	A6		 	
	A7		 	
	A8		 	
	A9		 	
	A10		 	
	A11		 	
	A12		 	
	B1		 	
	B2		 	
	B3		 	
	B4		 	
	B5		 	
	B6		 	
	B7		 	
	B8		 	
	B9		 	
	B10		 	
	B11		 	
	B12		 	
3-2	G1	3	 	 
	G2		 	
	G3		 	
	G4		 	
	G5		 	
	G6		 	
	G7		 	
	G8		 	
	G9		 	
	G10		 	
	G11		 	
	G12		 	
	H1		 	
	H2		 	
	H3		 	
	H4		 	
	H5		 	
	H6		 	
	H7		 	
	H8		 	
	H9		 	
	H10		 	
	H11		 	
	H12		 	
5-1	E1	4	 	 
	E2		 	
	E3		 	
	E4		 	
	E5		 	
	E6		 	
	E7		 	
	E8		 	
	E9		 	
	E10		 	
	E11		 	
	E12		 	
	F1		 	
	F2		 	
	F3		 	
	F4		 	
	F5		 	
	F6		 	
	F7		 	
	F8		 	
	F9		 	
	F10		 	
	F11		 	
	F12		 	
EV	C1	5	 	 
	C2		 	
	C3		 	
	C4		 	
	C5		 	
	C6		 	
	C7		 	
	C8		 	
	C9		 	
	C10		 	
	C11		 	
	C12		 	
	D1		 	
	D2		 	
	D3		 	
	D4		 	
	D5		 	
	D6		 	
	D7		 	
	D8		 	
	D9		 	
	D10		 	
	D11		 	
	D12		 	
~End
Original Filename: 021216 ELISA ex485,em600.pda   Date Last Saved: 2/12/16
