		MDAMB468.1	MDAMB468.2	MDAMB468.3	68496.1	68496.2	68496.3	68674.2	68674.3	.RPE1.1	.RPE1.2	.RPE1.3
												
SEMA3B-3	03-050.282677	0.76	0.8	0.81	0.9	0.9	0.93	1.3	1.2	0.97	0.97	0.98
RASSF1-1	03-050.353349	0.88	0.86	0.89	1.15	1.2	1.2	1.15	1.06	0.83	0.83	0.83
CASR-7	03-123.485226	0	0	0	0	0	0	0	0	0	0	0
ATR-47	03-143.651064	0.58	0.58	0.59	0.9	0.93	0.92	1.36	1.24	0.96	0.94	0.95
HLTF-1	03-150.286916	0.48	0.5	0.51	0.99	0.96	0.98	0.91	1.03	1.07	1.07	1.02
PDCD10-4	03-168.905298	0.45	0.45	0.45	1.05	1.09	1.09	0.76	0.72	1.2	1.19	1.22
PIK3CA-2	03-180.399606	0.46	0.45	0.46	0.87	0.91	0.9	1.64	1.49	0.9	0.89	0.91
DEPDC1B-2	05-060.018734	0.56	0.57	0.59	1.18	0.96	0.99	0.88	1.01	1.03	1.03	0.98
MCCC2-16	05-070.984253	0.6	0.6	0.6	0.97	1	0.99	1.01	0.94	1.05	1.03	1.05
GPR98-90	05-090.495354	0.63	0.65	0.67	1.07	1.1	1.1	1.05	0.99	0.91	0.92	0.92
APC-1	05-112.071337	0.69	0.7	0.73	0.97	1	1	1.53	1.4	0.84	0.84	0.84
LMNB1-7	05-126.184598	0.57	0.59	0.59	0.95	0.97	0.98	1.23	1.22	0.93	0.91	0.93
TPMT-5	06-018.247829	0.55	0.55	0.57	0.9	0.96	0.94	0.99	1.12	1.05	1.05	1.06
HFE-2	06-026.198995	0.42	0.41	0.42	1.08	1.13	1.12	1.39	1.27	0.8	0.8	0.79
FANCE-7	06-035.535433	0.57	0.57	0.59	0.82	0.87	0.86	1.24	1.15	1.06	1.09	1.09
GATA3-1	10-008.136771	0.44	0.46	0.47	0.95	0.95	0.97	1.07	1.11	0.99	1	1
CELF2-region-6	10-011.017023	0.63	0.63	0.65	1.08	1.15	1.15	1.23	1.23	0.82	0.81	0.81
PTEN-1	10-089.614100	0.56	0.57	0.58	1.11	1.13	1.11	0.61	0.6	1.52	1.52	1.46
PTEN-9	10-089.714978	0.33	0.33	0.33	0.75	0.78	0.78	1.23	1.16	1.25	1.24	1.24
FGF23-1	12-004.358933	1.81	1.78	1.79	1.23	1.28	1.28	0.88	0.81	0.93	0.91	0.94
ETV6-5	12-011.913641	2.69	2.63	2.61	1.2	1.24	1.25	0.9	0.81	0.94	0.93	0.96
CEP290-Intr.26 (WT) wt 2991+16)	12-087.019051	0.49	0.48	0.47	1.11	1.14	1.16	2.49	2.21	0.68	0.66	0.66
BTG1 AREA-up	12-090.905480	0.42	0.44	0.45	1.04	1.03	1.05	0.99	1.13	0.96	0.93	0.93
PAH-3	12-101.812671	0.53	0.55	0.57	1.3	1.31	1.32	0.83	0.77	0.93	0.95	0.96
BRCA2-5	13-031.798006	0.66	0.65	0.67	1.19	1.24	1.21	0.71	0.65	1.16	1.16	1.19
BRCA2-11	13-031.812003	0.63	0.64	0.67	1.13	1.12	1.14	0.64	0.68	1.3	1.29	1.34
ABCC4-23	13-094.525703	1.2	1.2	1.21	1.02	1.07	1.06	1.14	1.05	0.9	0.91	0.91
PCCA-6	13-099.607548	2.12	2.13	2.16	1.06	1.13	1.11	2.36	2.05	0.69	0.68	0.7
PCCA-11	13-099.718959	1.65	1.64	1.66	0.98	1.05	1.02	2.15	1.94	0.73	0.74	0.75
FGF14-2	13-101.366785	1.5	1.55	1.53	1	1.07	1.06	0.97	0.9	1.01	1.01	1.02
BMP4-3	14-053.488631	0.43	0.42	0.42	1.02	1.06	1.06	1.05	0.97	0.96	0.95	0.96
GCH1-6	14-054.380537	0.65	0.65	0.66	0.98	1.01	1.02	1	0.95	1.01	1.04	1.02
RDH12-7	14-067.263397	0.46	0.45	0.46	0.93	0.98	0.97	1.19	1.29	0.93	0.92	0.93
THBS1-1	15-037.660496	0.97	0.98	1	1.35	1.41	1.4	1.13	1.03	0.76	0.75	0.76
CAPN3-10	15-040.479002	0.89	0.92	0.87	1.01	1.01	1.03	0.96	1.04	1.01	0.98	0.99
FBN1-5	15-046.679657	1.14	1.17	1.11	1.35	1.28	1.31	0.61	0.59	1.28	1.28	1.24
BRCA1-20	17-038.462662	0.68	0.68	0.69	0.92	0.95	0.95	0.82	0.78	1.32	1.3	1.33
BRCA1-2	17-038.529544	0.63	0.64	0.66	0.99	1.01	1.01	0.77	0.72	1.31	1.31	1.28
ACP1	02-000.267097	1.2	1.2	1.2	1.18	1.23	1.21	0.79	0.73	1.04	1.05	1.05
ZNF638	02-071.430713	1.1	1.08	1.09	1.05	1.1	1.11	1.28	1.26	0.82	0.82	0.83
EIF2AK3	02-088.673946	0.94	0.94	0.93	1.03	1.07	1.09	1.23	1.12	0.86	0.87	0.88
POR	07-075.448402	1.18	1.24	1.29	0.88	0.91	0.9	1.12	1.03	1.09	1.08	1.07
MET	07-116.126390	1.06	1	0.86	1.24	1	1.03	0.88	0.83	1.07	1.07	1.02
RET	10-042.932039	1.12	1.15	1.2	0.94	0.95	0.98	1.74	1.69	0.82	0.81	0.82
VCL	10-075.547778	0.83	0.85	0.85	0.84	0.87	0.85	1	1.11	1.19	1.19	1.14
SMPD1	11-006.369211	0	0	0	0	0	0	0	0	0	0	0
APEX1	14-019.994693	0.89	0.9	0.82	1.09	0.97	1	0.89	1.03	1.03	1.03	1
RBM11	21-014.510397	0.83	0.82	0.85	1.06	1.1	1.08	0.89	0.82	1.04	1.04	1.06
