"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
1,"NCT01611727","Open-Label,Non-Randomized Trial of Cisplatin Chemotherapy in BRCA1-Positive Metastatic Breast Cancer Patients","Completed","No Results Available","BRCA1 Mutation|Metastatic Breast Cancer","Drug: Cisplatin","Pomeranian Medical University Szczecin|Maria Sklodowska-Curie Memorial Cancer Center, Institute of Oncology","Female","18 Years and older   (Adult, Senior)","Phase 2","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","BN-001/83/07","May 31, 2012","July 2007","April 2009","July 10, 2012","July 2012","No Study Results Posted","Cisplatin","January 2009","Tumor Response Rate","https://ClinicalTrials.gov/show/NCT01611727"
2,"NCT00916500","Concurrent Chemoradiation With Cisplatin Every 3 Week in Advanced Cervical Cancer","Completed","No Results Available","CERVICAL NEOPLASMS","Drug: CONCURRENT CHEMORADIATION (CISPLATIN)","Korea Cancer Center Hospital","Female","20 Years to 75 Years   (Adult, Senior)","Phase 2","71","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","KCCH GY 1001","June 7, 2009","March 2006","December 2013","April 29, 2014","April 2014","No Study Results Posted","null","December 2013","DISEASE-FREE SURVIVAL|OVERALL SURVIVAL|RECURRENCE RATE","https://ClinicalTrials.gov/show/NCT00916500"
3,"NCT00901537","Azacitidine and Cisplatin in Patients With Advanced Lung or Head and Neck Cancer","Terminated","No Results Available","Non-small Cell Lung Cancer|Squamous Cell Carcinoma of the Head and Neck","Drug: Azacitidine and Cisplatin","Loma Linda University","All","18 Years and older   (Adult, Senior)","Phase 1","24","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","58358|IND 105076 (IND Exempt)","May 12, 2009","February 2009","October 2011","June 2, 2014","June 2014","No Study Results Posted","null","September 2011","Evaluate the safety and toxicity of azacitidine and cisplatin combination.|Determine the biologically effective dose of azacitidine, maximum tolerated dose of azacitidine and cisplatin combination, and tumor response","https://ClinicalTrials.gov/show/NCT00901537"
4,"NCT01561586","Tri-weekly Cisplatin Based Chemoradiation in Locally Advanced Cervical Cancer","Recruiting","No Results Available","Cervical Cancer","Drug: Weekly cisplatin with RT|Drug: Tri-weekly cisplatin with RT","Korea Cancer Center Hospital|Seoul National University Hospital|Asan Medical Center|Gangnam Severance Hospital","Female","18 Years to 75 Years   (Adult, Senior)","Phase 3","590","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","KGOG 1027/THAI 2012","March 20, 2012","March 2012","March 2020","February 24, 2016","February 2016","No Study Results Posted","TACO","March 2017","Overall survival|Progression Free Survival|Recurrence rate|Adverse events|Compliance to radiation protocol|Quality of life","https://ClinicalTrials.gov/show/NCT01561586"
5,"NCT01149798","A Combination of Abraxane and Cisplatin in Metastatic Breast Cancer","Completed","No Results Available","Metastatic Breast Cancer","Drug: Abraxane and Cisplatin combination","Fudan University","Female","18 Years to 70 Years   (Adult, Senior)","Phase 2","73","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Fudan BR2010-02","June 23, 2010","June 2010","November 2011","August 5, 2012","August 2012","No Study Results Posted","null","June 2011","Overall response rates (ORR) of abraxane and cisplatin combination therapy|Progression free Suivial (PFS)|Number of adverse event|Overrall Survival (OS)","https://ClinicalTrials.gov/show/NCT01149798"
6,"NCT00935961","RAD001 (Everolimus) + Docetaxel + Cisplatin as Induction Chemotherapy in Patients With Local-Regional Advanced Head and Neck Cancer","Completed","No Results Available","HEAD & NECK Cancer","Drug: RAD001 + docetaxel + cisplatin","Memorial Sloan Kettering Cancer Center|Novartis Pharmaceuticals","All","18 Years and older   (Adult, Senior)","Phase 1","18","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","09-028","July 7, 2009","July 2009","August 2013","August 7, 2013","August 2013","No Study Results Posted","null","August 2013","To determine the phase II recommended dose of RAD001 (everolimus) + docetaxel + cisplatin as induction chemotherapy for patients with head and neck cancer|To establish the safety and tolerability of RAD001 (everolimus) + docetaxel + cisplatin|To determine the objective response rate of all patients treated with RAD001 (everolimus) + docetaxel + cisplatin using RECIST criteria","https://ClinicalTrials.gov/show/NCT00935961"
7,"NCT00353015","Irinotecan and Cisplatin for High Grade Neuroendocrine Carcinoma of the Gastrointestinal Tract","Completed","No Results Available","Gastrointestinal Cancer|Carcinoma, Neuroendocrine","Drug: Cisplatin|Drug: Irinotecan","M.D. Anderson Cancer Center|Pharmacia","All","Child, Adult, Senior","Phase 2","21","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ID02-523","July 13, 2006","March 2003","July 2009","August 1, 2012","August 2012","No Study Results Posted","null","December 2007","Participant Response Rate of Irinotecan and Cisplatin","https://ClinicalTrials.gov/show/NCT00353015"
8,"NCT00808145","Study of Sorafenib, Gemcitabine, and Cisplatin in Advanced Hepatocellular Carcinoma (HCC)","Withdrawn","No Results Available","Hepatocellular Carcinoma","Drug: Gemcitabine / Cisplatin / Sorafenib","Lahey Clinic","All","18 Years to 80 Years   (Adult, Senior)","Phase 2","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2008-108","December 11, 2008","February 2009","October 2014","October 21, 2014","October 2014","No Study Results Posted","null","October 2014","Safety of the combination of gemcitabine/cisplatin/sorafenib|Effectiveness of gemcitabine/cisplatin/sorafenib in shrinking tumors extending time to progression of disease","https://ClinicalTrials.gov/show/NCT00808145"
9,"NCT00995761","Biweekly Schedule of Docetaxel and Cisplatin in High Risk Patients With Unresectable Non-small Cell Lung Cancer (NSCLC)","Completed","Has Results","Non-small Cell Lung Cancer","Drug: Docetaxel and Cisplatin","Gyeongsang National University Hospital","All","18 Years to 75 Years   (Adult, Senior)","Phase 2","48","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","GNUHIRB-2009-30","October 14, 2009","October 2009","August 2012","February 9, 2014","February 2014","June 21, 2011","null","August 2012","Response Rates Confirmed With CT or MRI|We Conducted the Present Phase II Study to Investigate the Efficacy and Safety of a Biweekly Schedule of Docetaxel and Cisplatin in Patients With Unresectable NSCLC.|Time to Progression and Overall Survival Confirmed Through Follow-up and Observation Following Treatment","https://ClinicalTrials.gov/show/NCT00995761"
10,"NCT01096745","Randomized Trial of Gemcitabine/Cisplatin Versus S-1/Cisplatin in Advanced Biliary Cancer","Terminated","No Results Available","Metastatic Biliary Tract Cancer|Locally Advanced Biliary Tract Cancer","Drug: Gemcitabine, Cisplatin|Drug: S-1, Cisplatin","Gyeongsang National University Hospital|Samsung Medical Center|Dong-A University|Chung-Ang University","All","20 Years and older   (Adult, Senior)","Phase 2","78","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","GNUHIRB-2010-5","March 30, 2010","July 2010","September 2013","June 21, 2011","June 2011","No Study Results Posted","null","March 2013","Time to progression|Response rate Overall survival Safety profile","https://ClinicalTrials.gov/show/NCT01096745"
11,"NCT02030574","Neoadjuvant Gemcitabine and Fractionated, Weekly Cisplatin For Muscle Invasive Bladder Cancer and Patients Not Candidates For High Dose Cisplatin","Terminated","Has Results","Invasive Bladder Cancer|Bladder Cancer","Drug: Gemcitabine and fractionated cisplatin (combination treatment)","Brown University|Lifespan","All","18 Years and older   (Adult, Senior)","Phase 2","2","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","BrUOG 300","December 20, 2013","July 2014","June 2015","July 25, 2016","July 2016","October 27, 2015","null","June 2015","Pathologic Complete Response Rate of Neoadjuvant Gemcitabine and Fractionated Cisplatin for Patients With Muscle Invasive Bladder Cancer Whom Are Not Candidates for High Dose Cisplatin.|Number of Participants Experiencing Toxicities With Neoadjuvant Gemcitabine and Fractionated Cisplatin for Patients With Bladder Cancer","https://ClinicalTrials.gov/show/NCT02030574"
12,"NCT01165385","Study With Pazopanib in Combination With Cisplatin (CDDP) in Patients With Advanced Solid Tumors","Completed","No Results Available","Solid Tumors|Metastatic Cancer","Drug: cisplatin|Drug: Pazopanib","UNICANCER","All","18 Years and older   (Adult, Senior)","Phase 1","35","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","GEP 07/0908 - PACIFIK","June 25, 2010","June 2010","October 2014","November 14, 2014","November 2014","No Study Results Posted","PACIFIK","October 2013","Determination of the Optimal Tolerated Regimen (OTR) based on the occurrence of Dose Limiting Toxicities|Objective response - Overall Objective response rate - Clinical Benefit Rate|To characterize the pharmacokinetic (PK) profile of the combination pazopanib and cisplatin","https://ClinicalTrials.gov/show/NCT01165385"
13,"NCT00998036","Study of Temsirolimus, Erlotinib and Cisplatin in Solid Tumors","Completed","No Results Available","Triple Negative Breast Cancer","Drug: Temsirolimus, cisplatin, erlotinib","Columbia University|Wyeth is now a wholly owned subsidiary of Pfizer|Genentech, Inc.","Female","18 Years and older   (Adult, Senior)","Phase 1","9","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","AAAD8279","October 19, 2009","September 2009","October 2012","May 19, 2017","May 2017","No Study Results Posted","null","June 2012","Maximum tolerated doses of cisplatin, temsirolimus, and erlotinib","https://ClinicalTrials.gov/show/NCT00998036"
14,"NCT01114958","Pilot Study of Intra-Arterial Cisplatin With IV Thiosulfate in Patients With Lung Cancer or Lung Metastases","Unknown status","No Results Available","Lung Neoplasms|Neoplasm Metastasis","Drug: Cisplatin, Thiosulfate","University of California, San Diego","All","18 Years and older   (Adult, Senior)","Phase 1","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UCSD 090772","April 28, 2010","April 2010","null","May 4, 2010","April 2010","No Study Results Posted","null","October 2011","Frequency of adverse events due to intra-arterial cisplatin administration|Radiographic determination of the tumor response rate in patients with primary and metastatic lung tumors treated with intra-arterial supradose cisplatin.|Angiographic delineation of the vascular structure of primary lung tumors and lung metastases.","https://ClinicalTrials.gov/show/NCT01114958"
15,"NCT01336842","Study of Cisplatin and Pemetrexed in Combination With Panobinostat in Solid Tumors","Active, not recruiting","No Results Available","Solid Tumors|Non-Small Cell Lung Cancer (NSCLC)","Drug: Panobinostat, Cisplatin, Pemetrexed","University of California, Davis|Novartis Pharmaceuticals","All","18 Years and older   (Adult, Senior)","Phase 1","28","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","UCDCC#220","April 11, 2011","April 2011","December 2017","January 19, 2017","January 2017","No Study Results Posted","null","June 2017","Safety and feasibility of oral panobinostat in combination with cisplatin and pemetrexed|Maximum-tolerated dose as assessed by NCI CTCAE, Version 4.0|Dose-limiting toxicities and toxicity profile as assessed by NCI CTCAE, Version 4.0|Exploratory biomarker analysis|Efficacy of oral panobinostat in combination with cisplatin/pemetrexed in an expanded cohort of patients with NSCLC","https://ClinicalTrials.gov/show/NCT01336842"
16,"NCT00968435","Bevacizumab, Cetuximab, and Cisplatin With IMRT (Intensity-Modulated Radiation Therapy) for Patients With Stage III/IV Head and Neck Squamous Cell Carcinoma","Completed","No Results Available","Head and Neck Cancer","Other: bevacizumab, cisplatin, cetuximab, radiation therapy","Memorial Sloan Kettering Cancer Center|Genentech, Inc.","All","18 Years and older   (Adult, Senior)","Phase 2","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","09-083","August 28, 2009","August 2009","null","August 9, 2016","August 2016","No Study Results Posted","null","August 2016","To determine the 2-year progression-free survival for patients with locally or regionally advanced HNSCC treated with concurrent IMRT + cisplatin + bevacizumab + cetuximab.|To determine median overall survival for patients with locally or regionally advanced HNSCC treated with concurrent IMRT + cisplatin + bevacizumab + cetuximab.|To evaluate the safety and tolerability of concurrent IMRT + cisplatin + bevacizumab + cetuximab.|To explore the potential utility of 18F FLT PET for early response assessment.","https://ClinicalTrials.gov/show/NCT00968435"
17,"NCT02250872","Effects of DPP4 Inhibitor on Cisplatin Induced Acute Kidney Injury","Recruiting","No Results Available","Cancer|Cisplatin Adverse Reaction","Drug: Gemigliptin|Drug: Placebo|Drug: Cisplatin","Seoul National University Bundang Hospital|LG Life Sciences","All","18 Years to 70 Years   (Adult, Senior)","Phase 2|Phase 3","182","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Care Provider)|Primary Purpose: Treatment","B1408264002","September 24, 2014","December 2014","June 2018","April 18, 2016","April 2016","No Study Results Posted","null","February 2018","Incidence of acute kidney injury defined as any of the followings|delta Cr|delta eGFR","https://ClinicalTrials.gov/show/NCT02250872"
