"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
1,"NCT02139280","Cyclophosphamide for Hematopoietic Stem Cell Mobilization in Patients With a Hematologic Malignancy","Active, not recruiting","No Results Available","Hematologic Malignancies","Drug: Cyclophosphamide","Dartmouth-Hitchcock Medical Center","All","18 Years and older   (Adult, Senior)","Phase 2","43","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","D13179","March 3, 2014","December 2013","December 2016","November 2, 2016","November 2016","No Study Results Posted","null","December 2016","Cyclophosphamide Dose|Resource Utilization","https://ClinicalTrials.gov/show/NCT02139280"
2,"NCT00501995","High Dose Cyclophosphamide for Treatment of Scleroderma","Completed","Has Results","Scleroderma","Drug: IV Cyclophosphamide","Johns Hopkins University","All","18 Years to 70 Years   (Adult, Senior)","Phase 3","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","00-11-17-02","July 13, 2007","February 2001","May 2010","August 29, 2016","August 2016","March 25, 2014","null","July 2008","The Primary Endpoint Will be an Improvement in the Modified Rodnan Skin Score.|Secondary Endpoint Was Changes in the Total Severity Score (Composite) and Measures of Severity in Each Specific Organ (Organ Specific Measures).","https://ClinicalTrials.gov/show/NCT00501995"
3,"NCT01836289","High-dose Cyclophosphamide for Severe Refractory Crohn Disease","Recruiting","No Results Available","Crohn's Disease|Crohn Disease","Drug: High-dose Cyclophosphamide","Johns Hopkins University","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NA_00052668","April 17, 2013","March 2015","March 2018","March 1, 2015","March 2015","No Study Results Posted","null","March 2018","Evaluation of safety of the High-Dose Cyclophosphamide (HDC) protocol|HDC-Induced Steroid-free remission|HDC-Induced Mucosal Healing|Improvement in patient reported quality of life|Molecular Mechanisms of High-dose Cyclophosphamide (HiCy) Therapy","https://ClinicalTrials.gov/show/NCT01836289"
4,"NCT02389309","A Trial of Dasatinib (PDGFR and SRC Inhibitor), Temsirolimus and Cyclophosphamide in Patients With Advanced Solid Tumors","Recruiting","No Results Available","Solid Tumors","Drug: Dasatinib|Drug: Cyclophosphamide|Drug: Temsirolimus","M.D. Anderson Cancer Center","All","12 Months to 20 Years   (Child, Adult)","Phase 1","36","Other","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","2014-0692|NCI-2015-00524","March 4, 2015","October 5, 2015","October 2018","March 7, 2017","March 2017","No Study Results Posted","null","October 2018","Maximum Tolerated Dose (MTD) of Dasatinib, Cyclophosphamide, and Temsirolimus in Participants With Advanced Solid Tumors|Tumor Response of Dasatinib, Cyclophosphamide, and Temsirolimus in Participants With Advanced Solid Tumors","https://ClinicalTrials.gov/show/NCT02389309"
5,"NCT01630538","Cyclophosphamide Therapy for Refractory Antibody-Mediated Rejection (AMR) in Kidney Transplants","Active, not recruiting","No Results Available","Antibody Mediated Rejection","Drug: Cyclophosphamide","University of Manitoba","All","18 Years and older   (Adult, Senior)","Phase 2","4","Other","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","TMCT-01","June 25, 2012","June 2013","December 2018","April 10, 2017","April 2017","No Study Results Posted","null","April 2018","Microvascular inflammation|titre of donor specific antibody (DSA)|antibody-mediated tissue injury|Urine Albumin/Creatinine ratios|Creatinine Clearance and estimated GFR|Graft Survival|Patient Survival","https://ClinicalTrials.gov/show/NCT01630538"
6,"NCT01974518","Comparative Study of Rituximab Versus Combination of Rituximab and Intravenous Cyclophosphamide in Severe Pemphigus","Unknown status","No Results Available","Pemphigus","Drug: Rituximab and Cyclophosphamide IV","Uprety Shraddha|Postgraduate Institute of Medical Education and Research","All","18 Years and older   (Adult, Senior)","Phase 3","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Care Provider)|Primary Purpose: Treatment","9187-PG-2012","October 4, 2013","November 2013","June 2015","October 29, 2014","October 2014","No Study Results Posted","null","June 2015","Study the clinical efficacy of IV rituximab vs IV rituximab and IV cyclophosphamide combination for treatment of refractory pemphigus in terms of early and late end points as defined by the international pemphigus committee|Study the characteristics of B cell depletion and repopulation following IV rituximab and combination of IV cyclophosphamide with IV rituximab.","https://ClinicalTrials.gov/show/NCT01974518"
7,"NCT02444091","Cyclophosphamide in Myalgic Encephalopathy/ Chronic Fatigue Syndrome (ME/CFS)","Active, not recruiting","No Results Available","Chronic Fatigue Syndrome (CFS)|Myalgic Encephalomyelitis (ME)","Drug: Cyclophosphamide","Haukeland University Hospital|The Kavli Foundation|Oslo University Hospital","All","18 Years to 65 Years   (Adult)","Phase 2","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","KTS-7-2015|2014-004029-41","March 25, 2015","March 2015","January 2017","April 11, 2016","April 2016","No Study Results Posted","CycloME","January 2017","Fatigue score, selfreported|Overall response|Short Form-36 (SF-36)|Physical activity (Sensewear armband)|Cardiopulmonary exercise tests for two following days|Self-recorded Function level|Fatigue Severity Scale|Longest continuous response duration|Sustained clinical response at 12 months|Safety and tolerability","https://ClinicalTrials.gov/show/NCT02444091"
8,"NCT00412243","Clofarabine and Cyclophosphamide Combination in Acute Lymphoblastic Leukemia Patients","Completed","Has Results","Burkitt's Lymphoma|Lymphoblastic Lymphoma|Acute Lymphoblastic Leukemia","Drug: Clofarabine|Drug: Cyclophosphamide","M.D. Anderson Cancer Center|Genzyme, a Sanofi Company","All","21 Years and older   (Adult, Senior)","Phase 1|Phase 2","51","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2005-0552","December 14, 2006","March 2006","April 2012","March 8, 2013","March 2013","January 25, 2013","null","April 2012","Maximum Tolerated Dose for Cyclophosphamide (MTD)","https://ClinicalTrials.gov/show/NCT00412243"
9,"NCT01740401","CTLA-4 Blockade and Low Dose Cyclophosphamide in Patients With Advanced Malignant Melanoma","Terminated","Has Results","Melanoma","Drug: Cyclophosphamide","Icahn School of Medicine at Mount Sinai|Bristol-Myers Squibb","All","18 Years and older   (Adult, Senior)","Phase 2","10","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","GCO 14-0677|114660","November 29, 2012","October 2012","December 2014","March 15, 2017","March 2017","March 15, 2017","null","December 2013","The Primary Objective of This Study is: Evaluate the Anti-tumor Activity of the Combination of Low Dose Cyclophosphamide and CTLA-4 Blockade Using Objective Response Rate (ORR) by 12 Weeks Following mWHO RC.|Progression-free Survival|T Regulatory Cell Profile in Peripheral Blood","https://ClinicalTrials.gov/show/NCT01740401"
10,"NCT01995331","Moderate-dose Cyclophosphamide for Childhood Acquired Aplastic Anemia","Unknown status","No Results Available","Aplastic Anemia","Drug: cyclophosphamide,cyclosporine A","Xiaofan Zhu|Chinese Academy of Medical Sciences","All","1 Year to 18 Years   (Child, Adult)","Phase 4","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","YL20102601","November 21, 2013","March 2012","March 2015","November 21, 2013","November 2013","No Study Results Posted","null","March 2015","The reponse of Moderate-dose Cyclophosphamide for Childhood Acquired Aplastic Anemia|The side effect of Moderate-dose Cyclophosphamide for Childhood Acquired Aplastic Anemia","https://ClinicalTrials.gov/show/NCT01995331"
