"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
1,"NCT00102648","Sarasar and Temodar for Glioblastoma Multiforme Patients","Active, not recruiting","No Results Available","Glioblastoma Multiforme|Gliosarcoma|Brain Tumors","Drug: Sarasar|Drug: Temodar","M.D. Anderson Cancer Center|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 1","35","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2004-0424|SPRI # P04084|NCI-2012-01311","January 31, 2005","December 2004","null","June 7, 2016","June 2016","No Study Results Posted","null","December 2017","Maximum tolerated dose (MTD) Sarasar when combined with Temodar in an alternating week schedule|6-month Progression-Free Survival","https://ClinicalTrials.gov/show/NCT00102648"
2,"NCT00619112","Temozolomide in Treating Patients With Recurrent High-Grade Glioma","Completed","Has Results","Recurrent Central Nervous System Neoplasm","Drug: temozolomide","University of California, San Francisco|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","60","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000572434|UCSF-H44867-31182-01|UCSF-07107|SPRI-UCSF-H44867-31182-01","February 19, 2008","October 2007","September 2012","October 29, 2013","October 2013","June 17, 2013","null","December 2011","Efficacy, as Measured by 6-month Progression-free Survival, of the Dose-intense Temozolomide Treatment Schedule; This Endpoint Was Measured From the First Day of Treatment Until Progression or 6month Mark From Treatment Initiation.|Toxicity Associated With the Dose-intense Temozolomide Treatment Schedule as Assessed by NCI CTCAE v3.0","https://ClinicalTrials.gov/show/NCT00619112"
3,"NCT01067066","A Phase I/II Study of TPI 287 - Temozolomide Combination in Melanoma","Terminated","No Results Available","Melanoma","Drug: TPI 287|Drug: Temodar (Temozolomide)","M.D. Anderson Cancer Center|Cortice Biosciences, Inc.","All","15 Years and older   (Child, Adult, Senior)","Phase 1|Phase 2","21","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2009-0357|NCI-2011-00558","February 9, 2010","February 2010","July 2016","July 7, 2016","July 2016","No Study Results Posted","null","July 2016","Maximum Tolerated Dose (MTD) of TPI 287 in Combination with Temodar|Progression-Free Survival (PFS)","https://ClinicalTrials.gov/show/NCT01067066"
4,"NCT00574964","Gliadel Wafers and Temodar in the Treatment of Glioblastoma Multiforme","Terminated","No Results Available","Primary Glioblastoma Multiforme","Other: Gliadel Wafer, Temodar and Radiotherapy","University of Iowa|Eisai Inc.","All","18 Years to 85 Years   (Adult, Senior)","Phase 2","50","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","200408035","December 14, 2007","October 2005","June 2008","October 25, 2016","March 2010","No Study Results Posted","Temodar","November 2007","Determine the safety and feasibility of Gliadel 3.85% wafers plus surgery and limited field radiation therapy with concomitant temozolomide, followed by adjuvant temozolomide, in subjects undergoing initial surgery for newly-diagnosed malignant gliomas.|Determine the progression free survival at 6 months, medial survival, and one year survival rate of this subject population. Determine objective response rate.","https://ClinicalTrials.gov/show/NCT00574964"
5,"NCT00304200","Temodar and Sutent as Therapy for Melanoma","Terminated","No Results Available","Metastatic Malignant Melanoma","Drug: Temozolomide and SU11248","Northern California Melanoma Center|Pfizer|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","7","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Temodar/Sutent","March 12, 2006","March 2006","January 2009","February 3, 2009","February 2009","No Study Results Posted","null","October 2007","Safety and tolerability of this combination|Determine the Maximum Tolerated Dose (MTD) of this combination|Progression-free survival (PFS) at 6 months|Progression-free survival (PFS)|Overall survival (OS)|Objective Response Rate (RR)in patients with measurable lesions|Duration of Objective Response in patients with measurable lesions|Correlation of outcome with MGMT promoter methylation","https://ClinicalTrials.gov/show/NCT00304200"
6,"NCT00610571","Ph I Oral Topotecan and Temozolomide for Patients With Malignant Gliomas","Completed","No Results Available","Glioblastoma|Gliosarcoma|Anaplastic Astrocytoma","Drug: Oral Topotecan and Temodar","Katy Peters|GlaxoSmithKline|Schering-Plough|Duke University","All","18 Years and older   (Adult, Senior)","Phase 1","62","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00003970|5487","January 28, 2008","April 2004","April 2012","October 23, 2013","October 2013","No Study Results Posted","null","September 2009","maximum tolerated dose|Safety & efficacy","https://ClinicalTrials.gov/show/NCT00610571"
7,"NCT01847235","Temozolomide in Relapsed or Advanced Anaplastic Oligodendroglioma and Oligoastrocytoma: Single-arm, Phase II Trial","Completed","No Results Available","Anaplastic Oligodendroglioma|Anaplastic Oligoastrocytoma","Drug: Temozolomide","Seoul National University Hospital","All","20 Years and older   (Adult, Senior)","Phase 2","23","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","OD_OA","April 29, 2013","May 2013","March 2016","April 22, 2016","April 2016","No Study Results Posted","null","September 2015","Progression free survival (PFS)|Objective response rate (ORR)|Overall survival (OS)|progression-free survival (PFS)|Number of Participants with Adverse Events","https://ClinicalTrials.gov/show/NCT01847235"
8,"NCT00187486","Safety and Efficacy Study of Tarceva, Temodar, and Radiation Therapy in Patients With Newly Diagnosed Brain Tumors","Completed","Has Results","Glioblastoma Multiforme|Gliosarcoma","Drug: Tarceva|Drug: Temodar|Procedure: Radiation Therapy","University of California, San Francisco|Genentech, Inc.","All","18 Years and older   (Adult, Senior)","Phase 2","66","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CC 04101|OSI 2725s","September 13, 2005","August 2004","March 2011","September 26, 2012","September 2012","April 25, 2011","null","March 2011","Overall Survival|Progression Free Survival","https://ClinicalTrials.gov/show/NCT00187486"
9,"NCT00613093","Ph. II Temozolomide + O6-BG in Treatment of Pts w Temozolomide-Resistant Malignant Glioma","Completed","No Results Available","Glioblastoma Multiforme|Anaplastic Glioma","Drug: Temodar and O6-Benzylguanine (BG)","Duke University|Keryx / AOI Pharmaceuticals, Inc.|National Institutes of Health (NIH)","All","18 Years and older   (Adult, Senior)","Phase 2","67","Other|Industry|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","4260","January 29, 2008","October 2002","August 2008","July 8, 2014","November 2012","No Study Results Posted","null","March 2006","Radiographic evidence of tumor response|6 month progression-free survival|Relationship between tumor AGT at original diagnosis & response to Temozolomide + O6-BG","https://ClinicalTrials.gov/show/NCT00613093"
10,"NCT00313729","Temozolomide in Treating Patients With Low-Grade Glioma","Completed","No Results Available","CNS Tumor, Adult","Drug: temozolomide","University of California, San Francisco","All","18 Years and older   (Adult, Senior)","Phase 2","120","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000448883|99102|BTRC-9902|H7858-16278-07","April 11, 2006","May 1999","March 2015","May 28, 2015","May 2015","No Study Results Posted","null","January 2015","Response rate (complete and partial response)|Time to tumor progression|Survival|Toxicity","https://ClinicalTrials.gov/show/NCT00313729"
