Entry,Entry name,Status,Protein names,Gene names,Organism,Length
P04637,P53_HUMAN,reviewed,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),TP53 P53,Homo sapiens (Human),393
P40337,VHL_HUMAN,reviewed,Von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),VHL,Homo sapiens (Human),213
Q9BRK4,LZTS2_HUMAN,reviewed,Leucine zipper putative tumor suppressor 2 (hLZTS2) (Protein LAPSER1),LZTS2 KIAA1813 LAPSER1,Homo sapiens (Human),669
P60484,PTEN_HUMAN,reviewed,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)",PTEN MMAC1 TEP1,Homo sapiens (Human),403
P42771,CDN2A_HUMAN,reviewed,Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A),CDKN2A CDKN2 MTS1,Homo sapiens (Human),156
Q5JR59,MTUS2_HUMAN,reviewed,Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa),MTUS2 CAZIP KIAA0774 TIP150,Homo sapiens (Human),1369
Q8N726,ARF_HUMAN,reviewed,Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF),CDKN2A CDKN2 MLM,Homo sapiens (Human),132
P35222,CTNB1_HUMAN,reviewed,Catenin beta-1 (Beta-catenin),CTNNB1 CTNNB OK/SW-cl.35 PRO2286,Homo sapiens (Human),781
O95835,LATS1_HUMAN,reviewed,Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts),LATS1 WARTS,Homo sapiens (Human),1130
P38398,BRCA1_HUMAN,reviewed,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1),BRCA1 RNF53,Homo sapiens (Human),1863
P00533,EGFR_HUMAN,reviewed,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),EGFR ERBB ERBB1 HER1,Homo sapiens (Human),1210
Q9NS56,TOPRS_HUMAN,reviewed,E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3),TOPORS LUN TP53BPL,Homo sapiens (Human),1045
Q16394,EXT1_HUMAN,reviewed,Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1),EXT1,Homo sapiens (Human),746
Q13625,ASPP2_HUMAN,reviewed,Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2),TP53BP2 ASPP2 BBP,Homo sapiens (Human),1128
Q9NRM7,LATS2_HUMAN,reviewed,Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase),LATS2 KPM,Homo sapiens (Human),1088
Q9NZM5,NOP53_HUMAN,reviewed,Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60),NOP53 GLT GLTSCR2 PICT1,Homo sapiens (Human),478
P29590,PML_HUMAN,reviewed,Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19),PML MYL PP8675 RNF71 TRIM19,Homo sapiens (Human),882
O60858,TRI13_HUMAN,reviewed,E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Leukemia-associated protein 5) (Putative tumor suppressor RFP2) (RING finger protein 77) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13),TRIM13 LEU5 RFP2 RNF77,Homo sapiens (Human),407
Q9BY67,CADM1_HUMAN,reviewed,Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1),CADM1 IGSF4 IGSF4A NECL2 SYNCAM TSLC1,Homo sapiens (Human),442
Q93063,EXT2_HUMAN,reviewed,Exostosin-2 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 2) (Putative tumor suppressor protein EXT2),EXT2,Homo sapiens (Human),718
Q8IXJ6,SIR2_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2),SIRT2 SIR2L SIR2L2,Homo sapiens (Human),389
Q00987,MDM2_HUMAN,reviewed,E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2),MDM2,Homo sapiens (Human),491
Q96EB6,SIR1_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 3.5.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)],SIRT1 SIR2L1,Homo sapiens (Human),747
P31749,AKT1_HUMAN,reviewed,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha),AKT1 PKB RAC,Homo sapiens (Human),480
O60260,PRKN_HUMAN,reviewed,E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.-) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2),PRKN PARK2,Homo sapiens (Human),465
P06400,RB_HUMAN,reviewed,Retinoblastoma-associated protein (p105-Rb) (pRb) (Rb) (pp110),RB1,Homo sapiens (Human),928
Q07912,ACK1_HUMAN,reviewed,Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2),TNK2 ACK1,Homo sapiens (Human),1038
P30154,2AAB_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta),PPP2R1B,Homo sapiens (Human),601
